"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\administrador.entity.ts", "TypeScript", 15, 0, 3, 18
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\administrador.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\controller\administrador.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\controller\administrador.controller.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\service\administrador.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\service\administrador.service.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\alumno.entity.ts", "TypeScript", 31, 0, 7, 38
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\alumno.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\controller\alumno.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\controller\alumno.controller.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\service\alumno.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\service\alumno.service.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\app.controller.spec.ts", "TypeScript", 18, 0, 5, 23
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\app.controller.ts", "TypeScript", 10, 0, 3, 13
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\app.module.ts", "TypeScript", 53, 0, 3, 56
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\app.service.ts", "TypeScript", 7, 0, 2, 9
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\archivo.entity.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\archivo.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\controller\archivo.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\controller\archivo.controller.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\service\archivo.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\archivo\service\archivo.service.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\colonia.entity.ts", "TypeScript", 12, 0, 3, 15
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\colonia.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\controller\colonia.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\controller\colonia.controller.ts", "TypeScript", 31, 0, 9, 40
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\interface\colonia.interface.ts", "TypeScript", 3, 0, 0, 3
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\service\colonia.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\colonia\service\colonia.service.ts", "TypeScript", 25, 0, 9, 34
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\controller\curso.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\controller\curso.controller.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\curso.entity.ts", "TypeScript", 30, 0, 7, 37
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\curso.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\service\curso.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\curso\service\curso.service.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\controller\delegacion.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\controller\delegacion.controller.ts", "TypeScript", 31, 0, 9, 40
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\delegacion.entity.ts", "TypeScript", 12, 0, 3, 15
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\delegacion.module.ts", "TypeScript", 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\interface\delegacion.interface.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\service\delegacion.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\delegacion\service\delegacion.service.ts", "TypeScript", 25, 0, 9, 34
